epoch,step,test_loss,test_mae,test_rmse,train_loss,val_loss,val_mae,val_rmse
0,49,,,,,516.88330078125,17.260725021362305,22.266647338867188
0,49,,,,848.8912963867188,,,
1,99,,,,,400.3076171875,14.836515426635742,19.707847595214844
1,99,,,,376.65911865234375,,,
2,149,,,,,403.04736328125,14.696453094482422,19.869518280029297
2,149,,,,272.9114685058594,,,
3,199,,,,,406.7193908691406,14.634819030761719,19.960294723510742
3,199,,,,267.0518798828125,,,
4,249,,,,,410.7499084472656,14.601951599121094,20.05938720703125
4,249,,,,252.00619506835938,,,
5,299,,,,,406.27197265625,14.369352340698242,19.937820434570312
5,299,,,,246.7813720703125,,,
6,349,,,,,417.8465270996094,14.5628662109375,20.21804428100586
6,349,,,,227.85311889648438,,,
7,350,468.2659912109375,15.328643798828125,21.235715866088867,,,,
