epoch,step,test_loss,test_mae,test_rmse,train_loss,val_loss,val_mae,val_rmse
0,26,,,,,830.9579467773438,23.788835525512695,28.356657028198242
0,26,,,,1164.610107421875,,,
1,53,,,,,458.95538330078125,16.416831970214844,20.94268226623535
1,53,,,,558.2310791015625,,,
2,80,,,,,418.6763610839844,15.457303047180176,20.008928298950195
2,80,,,,359.2064208984375,,,
3,107,,,,,394.1549987792969,14.697126388549805,19.427209854125977
3,107,,,,286.9205627441406,,,
4,134,,,,,387.3783874511719,14.223604202270508,19.254119873046875
4,134,,,,271.4313659667969,,,
5,161,,,,,388.5282897949219,14.035683631896973,19.28350067138672
5,161,,,,239.132080078125,,,
6,188,,,,,381.7593688964844,13.78480052947998,19.12293243408203
6,188,,,,255.82362365722656,,,
7,215,,,,,372.2082824707031,13.495299339294434,18.916128158569336
7,215,,,,239.63299560546875,,,
8,242,,,,,377.6500549316406,13.550206184387207,19.03060531616211
8,242,,,,224.4989776611328,,,
9,269,,,,,377.4678955078125,13.437244415283203,19.037782669067383
9,269,,,,244.0983428955078,,,
10,296,,,,,369.4910888671875,13.2440185546875,18.852460861206055
10,296,,,,229.2534637451172,,,
11,323,,,,,367.4305419921875,13.130282402038574,18.78888511657715
11,323,,,,225.74105834960938,,,
12,350,,,,,373.5947570800781,13.157565116882324,18.936120986938477
12,350,,,,212.78773498535156,,,
13,377,,,,,367.362060546875,13.011902809143066,18.796405792236328
13,377,,,,194.94845581054688,,,
14,404,,,,,374.76251220703125,13.260696411132812,18.98761558532715
14,404,,,,219.3717498779297,,,
15,431,,,,,370.23907470703125,13.153650283813477,18.86531639099121
15,431,,,,228.640625,,,
16,458,,,,,378.8864440917969,13.186177253723145,19.083559036254883
16,458,,,,199.90016174316406,,,
17,485,,,,,370.0777282714844,13.024308204650879,18.862491607666016
17,485,,,,193.59393310546875,,,
18,512,,,,,363.1278076171875,12.87050724029541,18.694841384887695
18,512,,,,177.1958770751953,,,
19,539,,,,,364.2880859375,12.968794822692871,18.72648048400879
19,539,,,,206.00680541992188,,,
20,540,318.71533203125,12.447052001953125,17.572895050048828,,,,
