epoch,step,train_loss,val_loss,val_mae,val_rmse
0,932,,76265.140625,256.3376770019531,266.34393310546875
0,932,128812.2421875,,,
1,1865,,81359.6015625,265.975341796875,275.603515625
1,1865,103631.0,,,
2,2798,,18370.90234375,96.61080169677734,107.88177490234375
2,2798,75807.765625,,,
3,3731,,17159.958984375,93.28829193115234,102.43144989013672
3,3731,6148.88037109375,,,
4,4664,,30598.365234375,115.32715606689453,124.53536987304688
4,4664,5158.64990234375,,,
5,5597,,33535.65625,119.46833038330078,129.16018676757812
5,5597,4992.5400390625,,,
6,6530,,48303.02734375,143.5468292236328,152.04318237304688
6,6530,4869.7314453125,,,
7,7463,,46285.125,140.09706115722656,148.7824249267578
7,7463,4878.14453125,,,
8,8396,,64865.84375,172.93788146972656,193.344970703125
8,8396,4812.296875,,,
9,9329,,14762.3447265625,88.4296646118164,96.32952117919922
9,9329,4872.70703125,,,
10,10262,,14911.0927734375,88.89012908935547,96.91726684570312
10,10262,4757.15234375,,,
11,11195,,15929.9423828125,92.05892944335938,101.2270278930664
11,11195,5401.7919921875,,,
12,12128,,17334.865234375,93.3998794555664,103.99724578857422
12,12128,5450.16748046875,,,
13,13061,,30800.220703125,116.86192321777344,130.4977569580078
13,13061,5125.4140625,,,
14,13994,,14922.0751953125,89.04113006591797,97.11332702636719
14,13994,4728.962890625,,,
15,14927,,15221.5185546875,89.94532012939453,97.77261352539062
15,14927,4476.99365234375,,,
16,15860,,15002.2724609375,89.02285766601562,96.9960708618164
16,15860,4482.92724609375,,,
17,16793,,15212.0224609375,89.88519287109375,97.74602508544922
17,16793,4479.00634765625,,,
18,17726,,30347.6875,116.89640808105469,126.2015380859375
18,17726,4529.1630859375,,,
