epoch,step,test_loss,test_mae,test_rmse,train_loss,val_loss,val_mae,val_rmse
0,12,,,,,5573.84912109375,72.2984390258789,74.32357025146484
0,12,,,,7089.771484375,,,
1,25,,,,,4769.32275390625,66.50206756591797,68.68898010253906
1,25,,,,6341.68017578125,,,
2,38,,,,,3990.37548828125,60.362056732177734,62.750770568847656
2,38,,,,5465.53857421875,,,
3,51,,,,,3214.535400390625,53.55126190185547,56.21135330200195
3,51,,,,4591.09326171875,,,
4,64,,,,,2462.51513671875,45.996925354003906,49.03839111328125
4,64,,,,3757.51953125,,,
5,77,,,,,1763.791748046875,37.64297866821289,41.25236129760742
5,77,,,,2869.061279296875,,,
6,90,,,,,1153.621337890625,28.404632568359375,32.939083099365234
6,90,,,,2071.267333984375,,,
7,103,,,,,678.1564331054688,18.227924346923828,24.48638343811035
7,103,,,,1435.70263671875,,,
8,116,,,,,398.1744689941406,14.201321601867676,18.146303176879883
8,116,,,,892.2724609375,,,
9,129,,,,,363.92681884765625,16.760671615600586,18.712385177612305
9,129,,,,601.4217529296875,,,
10,142,,,,,444.59942626953125,19.433725357055664,21.01697540283203
10,142,,,,463.5196533203125,,,
11,155,,,,,405.1776123046875,18.338287353515625,19.982860565185547
11,155,,,,504.73046875,,,
12,168,,,,,371.3544921875,17.101930618286133,18.96925926208496
12,168,,,,485.4394226074219,,,
13,181,,,,,375.92108154296875,17.2950496673584,19.118242263793945
13,181,,,,492.0833435058594,,,
14,194,,,,,406.47198486328125,18.37900161743164,20.018672943115234
14,194,,,,484.9813537597656,,,
15,207,,,,,390.69354248046875,17.85028839111328,19.570045471191406
15,207,,,,532.2675170898438,,,
16,220,,,,,382.84307861328125,17.56828498840332,19.334806442260742
16,220,,,,493.37750244140625,,,
17,233,,,,,385.7865905761719,17.67643165588379,19.424150466918945
17,233,,,,513.0545654296875,,,
18,246,,,,,389.4942321777344,17.80776023864746,19.53471565246582
18,246,,,,484.4908447265625,,,
19,259,,,,,378.3375549316406,17.393796920776367,19.194982528686523
19,259,,,,488.5477600097656,,,
20,260,413.2037658691406,18.54237937927246,20.268491744995117,,,,
