epoch,step,test_loss,test_mae,test_rmse,train_loss,val_loss,val_mae,val_rmse
0,47,,,,,18828.162109375,135.57247924804688,136.71351623535156
0,47,,,,18071.505859375,,,
1,95,,,,,17982.16796875,132.1996307373047,133.50721740722656
1,95,,,,17855.048828125,,,
2,143,,,,,4905.0380859375,57.25337600708008,69.7718734741211
2,143,,,,12163.6962890625,,,
3,191,,,,,727.3460083007812,19.728437423706055,26.04732322692871
3,191,,,,2145.997314453125,,,
4,239,,,,,469.0117492675781,15.98187255859375,20.38427734375
4,239,,,,926.71826171875,,,
5,287,,,,,369.951904296875,14.155664443969727,17.944692611694336
5,287,,,,720.2455444335938,,,
6,335,,,,,313.70733642578125,13.042241096496582,16.445417404174805
6,335,,,,610.6110229492188,,,
7,383,,,,,274.5215759277344,12.261387825012207,15.37246322631836
7,383,,,,536.8423461914062,,,
8,431,,,,,243.66033935546875,11.652338981628418,14.524200439453125
8,431,,,,480.1482849121094,,,
9,479,,,,,217.87596130371094,11.118226051330566,13.807581901550293
9,479,,,,430.6708984375,,,
10,527,,,,,193.66136169433594,10.586780548095703,13.129127502441406
10,527,,,,384.2806701660156,,,
11,575,,,,,172.70077514648438,10.078621864318848,12.512153625488281
11,575,,,,341.1825256347656,,,
12,623,,,,,153.39889526367188,9.548389434814453,11.88437271118164
12,623,,,,305.0368957519531,,,
13,671,,,,,136.33212280273438,9.031339645385742,11.292875289916992
13,671,,,,269.6910095214844,,,
14,719,,,,,121.38563537597656,8.544769287109375,10.729795455932617
14,719,,,,240.77487182617188,,,
15,767,,,,,109.1920166015625,8.07052993774414,10.2368803024292
15,767,,,,213.73016357421875,,,
16,815,,,,,98.58582305908203,7.6246442794799805,9.76613998413086
16,815,,,,190.22503662109375,,,
17,863,,,,,86.25283813476562,7.135446548461914,9.15111255645752
17,863,,,,169.92604064941406,,,
18,911,,,,,79.45132446289062,6.744598865509033,8.788595199584961
18,911,,,,152.9894561767578,,,
19,959,,,,,71.87306213378906,6.287872314453125,8.337120056152344
19,959,,,,137.97337341308594,,,
20,960,38.107242584228516,5.342828273773193,6.158653259277344,,,,
