experiment,strategy,weeks,mae,rmse,r2,mape,median_ae
rat_education,pretransfer,1,16.81987190246582,19.666451576910184,-0.0084556341171264,21.961672,18.835178
rat_education,pretransfer,2,17.324460983276367,19.86250805095416,-0.0286625623703002,22.99969,17.790863
rat_education,pretransfer,4,16.355148315429688,19.58527605958308,-0.0001478195190429,20.962446,17.280682
rat_education,pretransfer,8,18.24349021911621,21.22812810521838,-0.0036158561706542,24.253817,18.337818
rat_education,pretransfer,16,18.227733612060547,21.977425524069364,-0.0069966316223144,24.505669,16.27584
rat_education,pretransfer,32,19.123388290405277,27.319890259819744,0.4471886157989502,23.535172,11.939585
rat_education,pretransfer,64,17.30647087097168,27.194707647324275,0.3556002974510193,21.483473,8.853088
rat_education,pretransfer,104,17.268524169921875,26.216252022689808,0.401136577129364,21.335577,9.57703
rat_education,transfer,1,20.508358001708984,25.423916875973426,-0.6853485107421875,25.547241,18.457474
rat_education,transfer,2,15.669304847717283,20.858680056307644,-0.1344318389892578,20.067947,10.836182
rat_education,transfer,4,15.684046745300291,19.780600490422906,-0.0201963186264038,20.252205,12.629059
rat_education,transfer,8,15.349327087402344,20.94131407657853,0.023320734500885,19.29061,10.420254
rat_education,transfer,16,15.730757713317873,21.48285008792806,0.0378158092498779,19.95904,11.300625
rat_education,transfer,32,24.273771286010746,32.36366385749997,0.2242274284362793,28.06531,18.125328
rat_education,transfer,64,22.03647232055664,30.5887500702362,0.1847139000892639,26.674137,15.092489
rat_education,transfer,104,22.06976890563965,30.73110207535072,0.1771079897880554,26.65481,15.040388
rat_education,frozen,1,22.60895729064941,29.043412961044734,-1.1993789672851562,26.867062,19.698166
rat_education,frozen,2,19.74856185913086,25.688908967593637,-0.7206641435623169,24.023216,15.443199
rat_education,frozen,4,18.155967712402344,23.583006659987188,-0.4501173496246338,22.308931,13.833168
rat_education,frozen,8,17.213117599487305,22.360062882500465,-0.1134997606277465,21.960602,14.640762
rat_education,frozen,16,15.6058931350708,20.836168182778128,0.0948717594146728,20.678957,11.4116
rat_education,frozen,32,24.328859329223636,32.987076511823155,0.1940525770187378,28.863672,17.95007
rat_education,frozen,64,21.879188537597656,30.167284655344147,0.2070258855819702,26.62026,15.331028
rat_education,frozen,104,21.962491989135746,30.179272906807974,0.2063955068588256,26.86221,15.377699
rat_education,adapter,1,20.423622131347656,26.69731756444304,-0.8584035634994507,24.549652,15.479191
rat_education,adapter,2,17.335735321044922,21.907894491813977,-0.2514286041259765,22.207012,13.585346
rat_education,adapter,4,16.06683921813965,20.307875074440027,-0.0753102302551269,20.92337,13.620693
rat_education,adapter,8,16.208642959594727,20.744659104156334,0.0415781736373901,21.132425,13.103661
rat_education,adapter,16,15.531732559204102,20.878743641204952,0.091168999671936,20.293875,11.178295
rat_education,adapter,32,25.296335220336918,33.14065078381835,0.1865307688713073,30.375969,19.385895
rat_education,adapter,64,22.051239013671875,30.36435340196677,0.1966317892074585,27.294931,15.012346
rat_education,adapter,104,21.86437225341797,30.21195874437596,0.204675555229187,26.556337,15.058346
rat_education_new,pretransfer,1,243.1624755859375,261.9211027437461,-6.24062967300415,63.859726,213.78702
rat_education_new,pretransfer,2,172.6205596923828,198.1730422824961,-3.1449995040893555,43.212154,143.24565
rat_education_new,pretransfer,4,85.19659423828125,97.33799641905004,-3.5762786865234375e-07,24.85125,81.84085
