epoch,step,train_loss,val_loss,val_mae,val_rmse
0,308,,455.8004455566406,14.576014518737793,19.54075813293457
0,308,1612.7069091796875,,,
1,617,,340.43707275390625,11.061738967895508,16.32921028137207
1,617,205.5139617919922,,,
2,926,,334.0023193359375,10.532471656799316,15.977530479431152
2,926,138.24229431152344,,,
3,1235,,323.59332275390625,10.474052429199219,15.825336456298828
3,1235,123.61453247070312,,,
4,1544,,346.372802734375,10.605237007141113,16.197391510009766
4,1544,122.62321472167969,,,
5,1853,,328.7682189941406,10.50086498260498,15.904955863952637
5,1853,120.27568054199219,,,
6,2162,,318.91949462890625,10.213350296020508,15.581128120422363
6,2162,117.81271362304688,,,
7,2471,,306.2297058105469,9.91137409210205,15.346216201782227
7,2471,115.32266235351562,,,
