epoch,step,test_loss,test_mae,test_rmse,train_loss,val_loss,val_mae,val_rmse
0,24,,,,,811.6713256835938,23.627918243408203,28.114816665649414
0,24,,,,1136.25732421875,,,
1,49,,,,,430.2129211425781,16.93577003479004,20.555316925048828
1,49,,,,533.8329467773438,,,
2,74,,,,,406.9606628417969,16.244121551513672,20.028568267822266
2,74,,,,342.7664489746094,,,
3,99,,,,,425.3599548339844,16.17814064025879,20.438003540039062
3,99,,,,316.10614013671875,,,
4,124,,,,,392.98199462890625,15.247279167175293,19.649099349975586
4,124,,,,268.1925354003906,,,
5,149,,,,,386.1954650878906,14.982891082763672,19.476003646850586
5,149,,,,266.60321044921875,,,
6,174,,,,,389.9871520996094,14.864509582519531,19.574792861938477
6,174,,,,232.7250213623047,,,
7,199,,,,,377.3067321777344,14.466436386108398,19.25157928466797
7,199,,,,223.08096313476562,,,
8,224,,,,,379.7637939453125,14.446017265319824,19.300291061401367
8,224,,,,217.41517639160156,,,
9,249,,,,,395.14404296875,14.577153205871582,19.68537139892578
9,249,,,,219.5404052734375,,,
10,274,,,,,388.675537109375,14.604138374328613,19.53483009338379
10,274,,,,212.80157470703125,,,
11,299,,,,,385.7514343261719,14.349129676818848,19.457979202270508
11,299,,,,206.05686950683594,,,
12,324,,,,,383.84393310546875,14.304838180541992,19.403600692749023
12,324,,,,199.9580535888672,,,
13,325,439.6466369628906,15.406559944152832,20.80510139465332,,,,
