epoch,step,train_loss,val_loss,val_mae,val_rmse
0,294,,127467.4296875,353.927978515625,356.4493408203125
0,294,309311.4375,,,
1,589,,3626.01513671875,37.778202056884766,51.754432678222656
1,589,34825.7109375,,,
2,884,,3715.72119140625,37.70231246948242,52.28911590576172
2,884,14072.716796875,,,
3,1179,,2440.39501953125,25.73447036743164,37.39951705932617
3,1179,13048.501953125,,,
4,1474,,2193.61083984375,20.684179306030273,31.642539978027344
4,1474,9242.9951171875,,,
5,1769,,2138.3662109375,20.86439323425293,31.740392684936523
5,1769,8533.1806640625,,,
6,2064,,2114.5078125,18.48095703125,29.14162826538086
6,2064,8589.447265625,,,
7,2359,,2449.847412109375,23.015058517456055,34.14690017700195
7,2359,8353.84375,,,
